PalletteId;SkillId
1;12343
2;12417
3;12371
4;12337
5;43761
7;12373
8;12338
9;12318
11;12319
12;12320
13;12387
14;12323
16;12389
17;12325
20;12391
21;12440
22;12399
23;12447
25;12450
28;12453
29;12401
30;12456
31;12403
32;5939
33;12339
34;12340
36;12407
37;12457
47;62607
49;10282
50;10220
54;10229
86;10168
87;30643
89;10169
90;10174
102;10189
111;37873
122;5531
124;12380
140;35304
152;12385
201;5719
210;12360
251;10586
258;10260
262;5721
265;10255
271;10177
272;15863
280;10185
282;10187
287;5603
316;10192
321;5623
323;5732
324;12361
337;12362
338;12363
349;12367
356;10197
357;10200
358;10201
359;10204
360;10207
361;10211
362;10203
363;10202
365;10213
366;10176
369;12324
377;10632
379;14490
383;10302
384;10236
385;10232
386;10247
387;10234
388;10244
389;10237
390;10341
399;10267
402;6159
410;10245
438;29578
444;10311
456;12344
457;12346
458;10800
468;10375
554;1110
555;1162
559;1118
563;1123
564;1125
568;1129
570;1131
579;1139
580;1141
583;1148
603;1115
2876;12656
2877;12658
2881;12691
2882;12689
2883;12685
2884;12690
2887;12695
2888;12703
2889;12679
2890;12674
2891;12680
2892;12681
2894;12757
2895;12664
2896;12697
2897;12699
2898;12700
2899;12709
2900;12708
2902;12711
2903;12712
2904;12713
2905;12714
2906;12715
2907;12716
2908;12717
2909;12718
2910;12721
2911;12722
2912;12723
2913;12730
2914;12731
2915;12729
2917;12754
2918;12755
2919;12756
2920;12732
2923;12744
2926;12748
2927;12749
2966;10586
3310;16427
3822;20975
3875;21750
4743;29856
4755;29526
4787;30359
4815;30814
4827;30032
4845;29519
4848;30305
4868;30525
4919;31451
4922;31568
4928;31639
4940;31459
4944;31367
4963;31438
5600;41065
5614;40200
5639;43064
5665;44980
5699;43636
5770;45046
5810;42851
5824;42963
5859;42180
5942;41156
5958;45449
6875;62522
6876;43343
6877;45425
6879;62573
6885;24755
6890;35637
7021;65109
7065;63716
7072;66622
7118;65418
