PalletteId;SkillId
1;12343
2;12417
3;12371
4;12337
7;12373
8;12338
9;12318
11;12319
12;12320
13;12387
14;12323
16;12389
17;12325
20;12391
21;12440
22;12399
23;12447
25;12450
28;12453
29;12401
30;12456
31;12403
32;5813
33;12339
34;12340
36;12407
37;12457
38;5666
47;5522
49;5521
51;62778
54;71842
86;5696
89;5686
90;40139
103;30336
111;37873
114;5502
115;5506
116;5503
117;5507
122;5531
124;12380
140;35304
142;5535
143;5570
144;5536
145;5571
150;5534
151;5516
152;12385
201;5719
202;5540
203;5542
210;12360
230;5546
235;5554
246;5641
251;10586
258;5661
261;5567
262;5721
265;72900
272;15863
279;5569
284;5572
285;5573
287;5603
321;5623
322;5624
323;5732
324;12361
333;5635
334;5638
335;5639
336;5539
337;12362
338;12363
349;12367
369;12324
377;10632
379;14490
402;5929
446;5734
456;12344
457;12346
458;10800
468;10375
554;1110
555;1162
559;1118
563;1123
564;1125
568;1129
570;1131
579;1139
580;1141
583;1148
603;1115
2876;12656
2877;12658
2881;12691
2882;12689
2883;12685
2884;12690
2887;12695
2888;12703
2889;12679
2890;12674
2891;12680
2892;12681
2894;12757
2895;12664
2896;12697
2897;12699
2898;12700
2899;12709
2900;12708
2902;12711
2903;12712
2904;12713
2905;12714
2906;12715
2907;12716
2908;12717
2909;12718
2910;12721
2911;12722
2912;12723
2913;12730
2914;12731
2915;12729
2917;12754
2918;12755
2919;12756
2920;12732
2923;12744
2926;12748
2927;12749
2966;10586
3310;16427
3822;20975
3879;21656
4724;30432
4726;30047
4761;29968
4773;29948
4803;30662
4807;29535
4827;30032
4919;31451
4922;31568
4928;31639
4940;31459
4944;31367
4963;31438
5621;45746
5632;44239
5665;44980
5699;43636
5755;44612
5824;42963
5851;44926
5859;42180
5906;43638
5941;40183
5942;41156
6894;62698
6895;62826
6897;62982
6903;62725
6904;62965
6910;62827
7021;65109
7065;63716
7072;66622
7118;65418
7312;71002
7332;71688
7356;72843
7420;74314
7461;75783
7522;76634
7530;76841
7537;77038
7538;77320
7543;76711
7563;77190
7650;78873
