PalletteId;SkillId
1;12343
2;12417
3;12371
4;12337
7;12373
8;12338
9;12318
11;12319
12;12320
13;12387
14;12323
16;12389
17;12325
20;12391
21;12440
22;12399
23;12447
25;12450
28;12453
29;12401
30;12456
31;12403
32;5939
33;12339
34;12340
36;12407
37;12457
51;30713
53;63234
54;5830
85;6005
87;6054
90;40160
111;37873
122;5531
124;12380
131;50444
132;5802
134;5805
135;5806
136;5811
140;35304
152;12385
163;5818
201;5719
210;12360
251;10586
257;5821
262;5721
263;5812
272;15863
274;5832
275;5825
276;5834
287;5603
290;5836
291;5837
292;5838
293;6145
294;6161
296;5857
321;5623
323;5732
324;12361
337;12362
338;12363
349;12367
350;5861
351;5862
352;5865
353;5968
369;12324
377;10632
379;14490
393;5868
394;5904
395;5996
396;5860
397;5910
398;5912
402;6159
403;5927
404;5937
405;5933
408;30800
456;12344
457;12346
458;10800
468;10375
469;5967
470;5969
471;5867
472;5972
473;5970
474;5978
475;6164
478;5810
554;1110
555;1162
559;1118
563;1123
564;1125
568;1129
570;1131
579;1139
580;1141
583;1148
603;1115
2876;12656
2877;12658
2881;12691
2882;12689
2883;12685
2884;12690
2887;12695
2888;12703
2889;12679
2890;12674
2891;12680
2892;12681
2894;12757
2895;12664
2896;12697
2897;12699
2898;12700
2899;12709
2900;12708
2902;12711
2903;12712
2904;12713
2905;12714
2906;12715
2907;12716
2908;12717
2909;12718
2910;12721
2911;12722
2912;12723
2913;12730
2914;12731
2915;12729
2917;12754
2918;12755
2919;12756
2920;12732
2923;12744
2926;12748
2927;12749
2966;10586
3310;16427
3822;20975
3882;21659
3883;21661
4739;30815
4782;29921
4812;29739
4825;30357
4827;30032
4856;30725
4878;30101
4903;31248
4919;31451
4922;31568
4928;31639
4940;31459
4944;31367
4963;31438
5616;42009
5665;44980
5676;42521
5679;41218
5685;44646
5699;43636
5717;40507
5719;42842
5824;42963
5859;42180
5861;43739
5942;41156
6921;63095
6923;63262
6925;63049
6926;63113
6928;63111
6938;63253
7021;65109
7065;63716
7072;66622
7118;65418
7176;30027
