PalletteId;SkillId
1;12343
2;12417
3;12371
4;12337
5;10701
7;12373
8;12338
9;12318
11;12319
12;12320
13;12387
14;12323
16;12389
17;12325
18;10527
20;12391
21;12440
22;12399
23;12447
25;12450
28;12453
29;12401
30;12456
31;12403
32;5813
33;12339
34;12340
36;12407
37;12457
47;10706
49;10555
50;29740
54;62511
86;10709
89;19115
90;71998
102;44296
103;10557
111;37873
118;10533
122;5531
124;12380
128;10544
129;10546
139;10689
140;35304
146;10549
149;10646
152;12385
155;10547
162;10548
201;5719
210;12360
228;10541
234;19504
245;10562
250;10583
251;10586
258;10629
262;5721
265;10616
272;15863
287;5603
302;10543
304;10602
320;10607
321;5623
323;5732
324;12361
337;12362
338;12363
349;12367
364;10608
367;10611
368;10589
369;12324
371;10545
372;10609
373;10622
374;10612
375;10620
377;10632
378;10550
379;14490
402;5929
409;10606
445;10685
456;12344
457;12346
458;10800
468;10375
554;1110
555;1162
559;1118
563;1123
564;1125
568;1129
570;1131
579;1139
580;1141
583;1148
603;1115
2876;12656
2877;12658
2881;12691
2882;12689
2883;12685
2884;12690
2887;12695
2888;12703
2889;12679
2890;12674
2891;12680
2892;12681
2894;12757
2895;12664
2896;12697
2897;12699
2898;12700
2899;12709
2900;12708
2902;12711
2903;12712
2904;12713
2905;12714
2906;12715
2907;12716
2908;12717
2909;12718
2910;12721
2911;12722
2912;12723
2913;12730
2914;12731
2915;12729
2917;12754
2918;12755
2919;12756
2920;12732
2923;12744
2926;12748
2927;12749
2966;10586
3310;16427
3822;20975
3880;21762
4774;30670
4801;30488
4827;30032
4843;29666
4849;29414
4867;30105
4879;30772
4919;31451
4922;31568
4928;31639
4940;31459
4944;31367
4963;31438
5665;44980
5699;43636
5746;40274
5752;42917
5758;43148
5824;42963
5859;42180
5921;41615
5924;42935
5942;41156
5984;42355
6868;62530
6871;62646
6887;62667
6888;62655
6891;62514
6892;62662
7021;65109
7065;63716
7072;66622
7118;65418
7312;71002
7332;71688
7356;72843
7420;74314
7461;75783
7509;76975
7524;76752
7549;76941
7559;77259
7565;77022
7566;76739
7650;78873
