PalletteId;SkillId
1;12343
2;12417
3;12371
4;12337
5;14399
7;12373
8;12338
9;12318
10;14354
11;12319
12;12320
13;12387
14;12323
16;12389
17;12325
20;12391
21;12440
22;12399
23;12447
25;12450
28;12453
29;12401
30;12456
31;12403
32;5939
33;12339
34;12340
35;14504
36;12407
37;12457
47;45160
50;14446
51;14511
53;14415
54;62800
85;14360
87;14362
90;14400
102;29940
103;14394
105;14368
106;14372
110;14388
111;37873
112;14389
113;14392
122;5531
124;12380
140;35304
152;12385
156;14355
166;14402
167;14401
168;14403
169;14404
170;14405
171;14406
172;14407
173;14516
174;14409
175;14410
176;14408
178;14412
179;14413
201;5719
210;12360
238;14419
240;14544
251;10586
262;5721
265;14480
272;15863
287;5603
293;14465
317;14479
321;5623
323;5732
324;12361
337;12362
338;12363
349;12367
369;12324
377;10632
379;14490
380;14483
402;6159
418;14502
429;14528
456;12344
457;12346
458;10800
468;10375
482;14575
554;1110
555;1162
559;1118
563;1123
564;1125
568;1129
570;1131
579;1139
580;1141
583;1148
603;1115
2876;12656
2877;12658
2881;12691
2882;12689
2883;12685
2884;12690
2887;12695
2888;12703
2889;12679
2890;12674
2891;12680
2892;12681
2894;12757
2895;12664
2896;12697
2897;12699
2898;12700
2899;12709
2900;12708
2902;12711
2903;12712
2904;12713
2905;12714
2906;12715
2907;12716
2908;12717
2909;12718
2910;12721
2911;12722
2912;12723
2913;12730
2914;12731
2915;12729
2917;12754
2918;12755
2919;12756
2920;12732
2923;12744
2926;12748
2927;12749
2966;10586
3310;16427
3822;20975
3881;21815
4769;29613
4802;30343
4804;29941
4823;30258
4827;30032
4828;30074
4850;30189
4919;31451
4922;31568
4928;31639
4940;31459
4944;31367
4963;31438
5665;44980
5671;43123
5699;43636
5738;41919
5750;43745
5789;45333
5824;42963
5859;42180
5904;45380
5942;41156
5959;41100
6893;62804
6896;62960
6898;62967
6908;62901
6909;68085
6911;62978
7021;65109
7065;63716
7072;66622
7118;65418
